myTank.x,myTank.y,myTank.rotation,myTank.cannonRotation,myTank.velocityX,myTank.velocityY,myTank.accelerationX,myTank.accelerationY,myTank.shootCooldown,myTank.controls.turnLeft,myTank.controls.turnRight,myTank.controls.goForward,myTank.controls.goBack,myTank.controls.shoot,myTank.controls.cannonLeft,myTank.controls.cannonRight,myBullet1.x,myBullet1.y,myBullet1.velocityX,myBullet1.velocityY,myBullet2.x,myBullet2.y,myBullet2.velocityX,myBullet2.velocityY,myBullet3.x,myBullet3.y,myBullet3.velocityX,myBullet3.velocityY,enemyTank.x,enemyTank.y,enemyTank.rotation,enemyTank.cannonRotation,enemyTank.velocityX,enemyTank.velocityY,enemyTank.accelerationX,enemyTank.accelerationY,enemyTank.shootCooldown,enemyBullet1.x,enemyBullet1.y,enemyBullet1.velocityX,enemyBullet1.velocityY,enemyBullet2.x,enemyBullet2.y,enemyBullet2.velocityX,enemyBullet2.velocityY,enemyBullet3.x,enemyBullet3.y,enemyBullet3.velocityX,enemyBullet3.velocityY,currentGameTime
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.047,290.001,1.5,0,0.047,0.001,0.05,0.001,99,0,0,0,0,0,0,0,0,0,0,0,0,13
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.14,290.005,3,0,0.093,0.004,0.05,0.003,98,73.5,290,2.5,0,0,0,0,0,0,0,0,0,21
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.275,290.012,4.5,0,0.135,0.007,0.05,0.004,97,76,290,2.5,0,0,0,0,0,0,0,0,0,30
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.451,290.024,6,0,0.176,0.012,0.05,0.005,96,78.5,290,2.5,0,0,0,0,0,0,0,0,0,39
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.665,290.041,7.5,0,0.214,0.017,0.05,0.007,95,81,290,2.5,0,0,0,0,0,0,0,0,0,47
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.915,290.065,9,0,0.25,0.024,0.049,0.008,94,83.5,290,2.5,0,0,0,0,0,0,0,0,0,55
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2,290.097,10.5,0,0.284,0.031,0.049,0.009,93,86,290,2.5,0,0,0,0,0,0,0,0,0,63
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.517,290.137,12,0,0.317,0.04,0.049,0.01,92,88.5,290,2.5,0,0,0,0,0,0,0,0,0,71
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.864,290.185,13.5,0,0.347,0.049,0.049,0.012,91,91,290,2.5,0,0,0,0,0,0,0,0,0,80
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.239,290.244,15,0,0.376,0.059,0.048,0.013,90,93.5,290,2.5,0,0,0,0,0,0,0,0,0,88
450,210,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.641,290.313,16.5,0,0.402,0.069,0.048,0.014,89,96,290,2.5,0,0,0,0,0,0,0,0,0,96
